epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,38202.7,1.30366,0.6617,0.87882,0.92987,0.90255,0.94591,0.5682,1.46393,0.69423,0.86732,0.0009176,0.0009176,0.0009176
43,39111.6,1.27807,0.65697,0.88139,0.93488,0.91067,0.96213,0.59191,1.40259,0.68919,0.8615,0.0008912,0.0008912,0.0008912
44,40021.5,1.28382,0.66998,0.87657,0.92911,0.92745,0.94693,0.57221,1.45333,0.67524,0.86329,0.0008648,0.0008648,0.0008648
45,40929,1.25504,0.63847,0.87183,0.93916,0.93039,0.9547,0.60059,1.35941,0.65626,0.85796,0.0008384,0.0008384,0.0008384
46,41838.8,1.2805,0.66036,0.87672,0.92712,0.94452,0.95119,0.58724,1.37483,0.66317,0.85668,0.000812,0.000812,0.000812
47,42747.5,1.25517,0.63107,0.87973,0.94132,0.94316,0.96134,0.59429,1.38155,0.65103,0.85494,0.0007856,0.0007856,0.0007856
48,43660.8,1.28364,0.6468,0.87629,0.93911,0.93047,0.95021,0.59732,1.37216,0.63919,0.85519,0.0007592,0.0007592,0.0007592
49,44569.4,1.29159,0.65472,0.8794,0.93683,0.92898,0.95692,0.59607,1.34603,0.65605,0.85602,0.0007328,0.0007328,0.0007328
50,45478.3,1.25241,0.63756,0.87374,0.93058,0.93039,0.95424,0.58533,1.38974,0.66194,0.85986,0.0007064,0.0007064,0.0007064
51,46384.3,1.233,0.6335,0.86932,0.935,0.93271,0.96118,0.60526,1.33402,0.64621,0.85011,0.00068,0.00068,0.00068
52,47289.6,1.23974,0.63179,0.86648,0.93781,0.92691,0.95034,0.60612,1.33577,0.65612,0.85138,0.0006536,0.0006536,0.0006536
53,48194,1.21464,0.61204,0.865,0.93928,0.93323,0.95751,0.6124,1.34352,0.63374,0.851,0.0006272,0.0006272,0.0006272
54,49097.5,1.23295,0.62476,0.86708,0.93547,0.92497,0.96263,0.5986,1.34709,0.63982,0.84948,0.0006008,0.0006008,0.0006008
55,50002,1.2575,0.63316,0.87339,0.95023,0.93018,0.96404,0.59935,1.40209,0.64233,0.85526,0.0005744,0.0005744,0.0005744
56,50907,1.22315,0.62161,0.87048,0.9441,0.93271,0.96035,0.60369,1.36506,0.63859,0.85326,0.000548,0.000548,0.000548
57,51812.7,1.22047,0.60263,0.86828,0.94733,0.9389,0.96234,0.61936,1.32279,0.6269,0.84963,0.0005216,0.0005216,0.0005216
58,52719.1,1.23218,0.61548,0.86211,0.93631,0.91879,0.9612,0.61605,1.30757,0.6292,0.84794,0.0004952,0.0004952,0.0004952
59,53625.9,1.1761,0.59413,0.85614,0.92991,0.93387,0.96355,0.61326,1.30773,0.62009,0.8458,0.0004688,0.0004688,0.0004688
60,54530.9,1.18827,0.60181,0.86355,0.93891,0.93735,0.9656,0.61701,1.30991,0.63337,0.8472,0.0004424,0.0004424,0.0004424
61,55437.4,1.20643,0.60986,0.85813,0.95161,0.9354,0.9654,0.6284,1.27226,0.61054,0.84543,0.000416,0.000416,0.000416
62,56344.2,1.16898,0.58534,0.85983,0.93953,0.94084,0.96098,0.61389,1.33712,0.61262,0.84927,0.0003896,0.0003896,0.0003896
63,57249.8,1.17745,0.57787,0.85919,0.94945,0.94896,0.96562,0.61674,1.30047,0.62079,0.8462,0.0003632,0.0003632,0.0003632
64,58158.2,1.18828,0.5896,0.86478,0.92846,0.93346,0.96429,0.6143,1.30591,0.62519,0.84541,0.0003368,0.0003368,0.0003368
65,59111.4,1.16935,0.58219,0.85623,0.94331,0.94581,0.96412,0.62276,1.28969,0.59859,0.84494,0.0003104,0.0003104,0.0003104
66,60088,1.15069,0.56502,0.85629,0.95517,0.92923,0.96529,0.62403,1.29023,0.60592,0.84405,0.000284,0.000284,0.000284
67,60992.6,1.17582,0.58095,0.86387,0.94087,0.94145,0.96182,0.61491,1.30162,0.60957,0.84133,0.0002576,0.0002576,0.0002576
68,61895.7,1.15511,0.55813,0.85896,0.95336,0.94845,0.96707,0.62962,1.26721,0.60195,0.8396,0.0002312,0.0002312,0.0002312
69,62800,1.1489,0.56075,0.8587,0.94748,0.94896,0.96709,0.63541,1.28231,0.59032,0.84098,0.0002048,0.0002048,0.0002048
70,63704.6,1.10619,0.54188,0.85756,0.94479,0.93309,0.96173,0.64157,1.25337,0.58186,0.83921,0.0001784,0.0001784,0.0001784
71,64605.8,1.14154,0.55022,0.8607,0.95282,0.93968,0.96626,0.63741,1.25546,0.5771,0.83932,0.000152,0.000152,0.000152
72,65509.4,1.1287,0.54118,0.85559,0.9431,0.94217,0.96231,0.64225,1.24341,0.57362,0.83778,0.0001256,0.0001256,0.0001256
73,66413,1.12851,0.53942,0.85736,0.94897,0.94928,0.96781,0.63998,1.24348,0.57384,0.83761,9.92e-05,9.92e-05,9.92e-05
74,67318.1,1.11372,0.54132,0.85868,0.9489,0.9479,0.96509,0.6457,1.23179,0.56743,0.83616,7.28e-05,7.28e-05,7.28e-05
75,68222.5,1.11519,0.53452,0.86313,0.95127,0.94548,0.96443,0.64364,1.24021,0.56832,0.8363,4.64e-05,4.64e-05,4.64e-05
